id,value
TemporaryArchitecture,
TemporaryArchitecture.arts,
TemporaryArchitecture.arts.Aibophobia,114
TemporaryArchitecture.arts.Arcades&nbsp;Project,152
TemporaryArchitecture.arts.Art&nbsp;Beat,316
TemporaryArchitecture.arts.Art&nbsp;box,142
TemporaryArchitecture.arts.As&nbsp;Far&nbsp;As&nbsp;Eye&nbsp;Can&nbsp;See,170
TemporaryArchitecture.arts.bag&nbsp;o&nbsp;love,76
TemporaryArchitecture.arts.Band&nbsp;aid&nbsp;art&nbsp;work,70
TemporaryArchitecture.arts.best&nbsp;demo,75
TemporaryArchitecture.arts.Breaking&nbsp;Wonderful,356
TemporaryArchitecture.arts.Brighton&nbsp;Up,120
TemporaryArchitecture.arts.Buskers&nbsp;Festival,94
TemporaryArchitecture.arts.Butterfly_Gap,192
TemporaryArchitecture.arts.Capitalism&nbsp;has&nbsp;collapsed,66
TemporaryArchitecture.arts.Cardencity,250
TemporaryArchitecture.arts.ChapmansHomer,112
TemporaryArchitecture.arts.CocaWindowProjects,106
TemporaryArchitecture.arts.Concrete&nbsp;Propositions,354
TemporaryArchitecture.arts.ContainerArt,196
TemporaryArchitecture.arts.ContainerLove,378
TemporaryArchitecture.arts.Crux,256
TemporaryArchitecture.arts.Dance_o_mat,178
TemporaryArchitecture.arts.Deconstruction,368
TemporaryArchitecture.arts.Dog&nbsp;Park&nbsp;Art&nbsp;Project&nbsp;Space,102
TemporaryArchitecture.arts.Earthquake&nbsp;in&nbsp;Chile,246
TemporaryArchitecture.arts.EmptyChairs,100
TemporaryArchitecture.arts.End&nbsp;of&nbsp;the&nbsp;Line,358
TemporaryArchitecture.arts.Events&nbsp;Village,272
TemporaryArchitecture.arts.Film&nbsp;in&nbsp;the&nbsp;Gap,158
TemporaryArchitecture.arts.Frames,350
TemporaryArchitecture.arts.GapFiller_1,154
TemporaryArchitecture.arts.GapFiller_Kaiapoi,190
TemporaryArchitecture.arts.Giraffing&nbsp;Around,322
TemporaryArchitecture.arts.Government&nbsp;Life&nbsp;Suspension,370
TemporaryArchitecture.arts.Green&nbsp;Frame&nbsp;Exhibition,338
TemporaryArchitecture.arts.Greenzone,288
TemporaryArchitecture.arts.Hereafter,248
TemporaryArchitecture.arts.homagetolostspaces,30
TemporaryArchitecture.arts.Homer&nbsp;on&nbsp;the&nbsp;Range,276
TemporaryArchitecture.arts.I&nbsp;Am,84
TemporaryArchitecture.arts.Inside&nbsp;Out&nbsp;Project,340
TemporaryArchitecture.arts.ISeemtohavetemporarymisplacedmysenseofhumour,116
TemporaryArchitecture.arts.JellyinSumner,286
TemporaryArchitecture.arts.Kissing&nbsp;Booth,360
TemporaryArchitecture.arts.KnitHappens,264
TemporaryArchitecture.arts.LPC,168
TemporaryArchitecture.arts.luxcity,50
TemporaryArchitecture.arts.LytteltonLightInspiration,260
TemporaryArchitecture.arts.MacBeth,318
TemporaryArchitecture.arts.Magna&nbsp;Carta&nbsp;Chch,312
TemporaryArchitecture.arts.Man&nbsp;About&nbsp;Town,80
TemporaryArchitecture.arts.MeetMeOnTheOther&nbsp;Side,98
TemporaryArchitecture.arts.Mural&nbsp;Madness,118
TemporaryArchitecture.arts.my&nbsp;word&nbsp;is&nbsp;yours,36
TemporaryArchitecture.arts.nom&nbsp;nom,74
TemporaryArchitecture.arts.Now&nbsp;panic&nbsp;and&nbsp;freak&nbsp;out,72
TemporaryArchitecture.arts.Old&nbsp;Public&nbsp;Toilets,372
TemporaryArchitecture.arts.Orange&nbsp;Tree,376
